                                                   Tweet  Favorites  Compound  Positive  Neutral  Negative
281    Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
282    Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
283    tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
284    Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
285    Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
286    my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
287    @LiquidChap here's some dog asmr .  https://t....          0    0.0000     0.000    1.000     0.000
288    Scream go hero but make it asmr 🥴 https://t.co...          0    0.1154     0.189    0.658     0.152
289        @ameliadraperr asmr straight up pisses me off          0   -0.1280     0.204    0.538     0.258
290    Sehun: brushing asmr\n"My special guest is viv...          0    0.4019     0.137    0.863     0.000
291    Yixing: mundane tasks asmr\n"I have a lot of l...          0    0.0000     0.000    1.000     0.000
292    Minseok: skincare asmr \n"Wow... your skin got...          0    0.2481     0.143    0.759     0.098
293    Chanyeol: various sounds asmr \n"I found this ...          0    0.0000     0.000    1.000     0.000
294    Kyungsoo: kitchen noises asmr\n"*pot bubbling*...          0    0.0000     0.000    1.000     0.000
295    Junmyeon: art/culture topic asmr\n"Waa this is...          0    0.0000     0.000    1.000     0.000
296    Jongin: tapping asmr\n"This one... *tap tap* h...          0    0.7845     0.345    0.655     0.000
297    Jongdae: taking care of you asmr \n"You look t...          0    0.5940     0.254    0.638     0.109
298    You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
299    #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
300                         @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
301    i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
302    Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
303    my uncle almost caught me doing asmr to his tu...          0    0.3612     0.161    0.839     0.000
304    You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
305    *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
306    send me ur fav asmr channels NOW i need good s...          0    0.7096     0.396    0.604     0.000
307    @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
308    I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
309    @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
310    @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
311    Madmattr Layered Rainbow Star #satisfying #asm...          0    0.0000     0.000    1.000     0.000
312          Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
313                  asmr hits differently when its late          2    0.0000     0.000    1.000     0.000
314             @imagineyonce talk me to sleep asmr king          1    0.0000     0.000    1.000     0.000
315               Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
316    We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
317    Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
318    what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
